product_id,product_name,category,subcategory,cost_price
1, product_1 ,Books,subcategory_1,1076
2, product_2 ,Electronics,subcategory_1,596
3, product_3 ,Home,subcategory_1,228
4, product_4 ,Clothing,subcategory_2,890
5, product_5 ,Clothing,subcategory_3,172
6, product_6 ,Electronics,subcategory_4,582
7, product_7 ,Home,subcategory_5,1410
8, product_8 ,Books,subcategory_4,1983
9, product_9 ,Books,subcategory_1,1451
10, product_10 ,Electronics,subcategory_1,328
11, product_11 ,Home,subcategory_4,1987
12, product_12 ,Clothing,subcategory_3,567
13, product_13 ,Electronics,subcategory_4,224
14, product_14 ,Clothing,subcategory_5,1659
15, product_15 ,Home,subcategory_1,1441
16, product_16 ,Electronics,subcategory_4,965
17, product_17 ,Home,subcategory_5,1688
18, product_18 ,Books,subcategory_2,998
19, product_19 ,Electronics,subcategory_2,1264
20, product_20 ,Books,subcategory_2,186
21, product_21 ,Electronics,subcategory_5,788
22, product_22 ,Home,subcategory_1,751
23, product_23 ,Books,subcategory_1,1835
24, product_24 ,Electronics,subcategory_3,714
25, product_25 ,Books,subcategory_3,1630
26, product_26 ,Clothing,subcategory_2,987
27, product_27 ,Electronics,subcategory_1,1059
28, product_28 ,Home,subcategory_2,1337
29, product_29 ,Clothing,subcategory_1,449
30, product_30 ,Electronics,subcategory_5,457
31, product_31 ,Clothing,subcategory_3,715
32, product_32 ,Home,subcategory_2,1241
33, product_33 ,Clothing,subcategory_1,317
34, product_34 ,Electronics,subcategory_2,237
35, product_35 ,Books,subcategory_2,1574
36, product_36 ,Books,subcategory_2,118
37, product_37 ,Books,subcategory_1,1716
38, product_38 ,Home,subcategory_4,1909
39, product_39 ,Clothing,subcategory_3,226
40, product_40 ,Home,subcategory_2,552
41, product_41 ,Clothing,subcategory_1,1996
42, product_42 ,Books,subcategory_5,1541
43, product_43 ,Clothing,subcategory_1,1725
44, product_44 ,Electronics,subcategory_3,615
45, product_45 ,Home,subcategory_5,1939
46, product_46 ,Books,subcategory_3,523
47, product_47 ,Home,subcategory_4,980
48, product_48 ,Home,subcategory_1,1608
49, product_49 ,Home,subcategory_2,795
50, product_50 ,Home,subcategory_1,1864
51, product_51 ,Books,subcategory_1,1689
52, product_52 ,Home,subcategory_5,407
53, product_53 ,Books,subcategory_5,860
54, product_54 ,Books,subcategory_1,412
55, product_55 ,Books,subcategory_1,1998
56, product_56 ,Books,subcategory_2,745
57, product_57 ,Books,subcategory_2,763
58, product_58 ,Electronics,subcategory_5,1338
59, product_59 ,Electronics,subcategory_2,1560
60, product_60 ,Electronics,subcategory_4,1468
61, product_61 ,Books,subcategory_5,450
62, product_62 ,Books,subcategory_3,1093
63, product_63 ,Electronics,subcategory_5,1944
64, product_64 ,Clothing,subcategory_3,1630
65, product_65 ,Home,subcategory_3,507
66, product_66 ,Books,subcategory_2,108
67, product_67 ,Home,subcategory_5,1548
68, product_68 ,Electronics,subcategory_5,706
69, product_69 ,Electronics,subcategory_3,491
70, product_70 ,Books,subcategory_3,1071
71, product_71 ,Books,subcategory_3,1418
72, product_72 ,Home,subcategory_4,773
73, product_73 ,Home,subcategory_5,1817
74, product_74 ,Electronics,subcategory_4,1115
75, product_75 ,Home,subcategory_1,1094
76, product_76 ,Books,subcategory_1,1777
77, product_77 ,Books,subcategory_1,668
78, product_78 ,Home,subcategory_4,427
79, product_79 ,Home,subcategory_1,1283
80, product_80 ,Books,subcategory_3,1568
81, product_81 ,Books,subcategory_5,1577
82, product_82 ,Clothing,subcategory_1,613
83, product_83 ,Books,subcategory_1,126
84, product_84 ,Books,subcategory_5,1083
85, product_85 ,Electronics,subcategory_1,348
86, product_86 ,Home,subcategory_1,1858
87, product_87 ,Books,subcategory_3,1298
88, product_88 ,Electronics,subcategory_2,1679
89, product_89 ,Electronics,subcategory_4,619
90, product_90 ,Home,subcategory_5,1195
91, product_91 ,Electronics,subcategory_5,621
92, product_92 ,Electronics,subcategory_5,222
93, product_93 ,Books,subcategory_4,1093
94, product_94 ,Electronics,subcategory_3,1258
95, product_95 ,Clothing,subcategory_5,1477
96, product_96 ,Electronics,subcategory_1,1907
97, product_97 ,Books,subcategory_5,1622
98, product_98 ,Electronics,subcategory_3,606
99, product_99 ,Electronics,subcategory_5,409
100, product_100 ,Clothing,subcategory_3,695
101, product_101 ,Electronics,subcategory_1,1132
102, product_102 ,Clothing,subcategory_1,563
103, product_103 ,Books,subcategory_5,1064
104, product_104 ,Books,subcategory_2,1426
105, product_105 ,Clothing,subcategory_2,1221
106, product_106 ,Clothing,subcategory_5,1125
107, product_107 ,Home,subcategory_2,1383
108, product_108 ,Books,subcategory_3,413
109, product_109 ,Home,subcategory_4,455
110, product_110 ,Books,subcategory_1,1093
111, product_111 ,Home,subcategory_2,1784
112, product_112 ,Clothing,subcategory_4,1070
113, product_113 ,Home,subcategory_5,628
114, product_114 ,Electronics,subcategory_3,1646
115, product_115 ,Electronics,subcategory_1,1532
116, product_116 ,Home,subcategory_4,266
117, product_117 ,Books,subcategory_5,1090
118, product_118 ,Books,subcategory_5,1699
119, product_119 ,Clothing,subcategory_5,220
120, product_120 ,Clothing,subcategory_5,936
121, product_121 ,Electronics,subcategory_5,1556
122, product_122 ,Clothing,subcategory_1,619
123, product_123 ,Books,subcategory_3,663
124, product_124 ,Electronics,subcategory_1,553
125, product_125 ,Electronics,subcategory_3,962
126, product_126 ,Clothing,subcategory_5,234
127, product_127 ,Clothing,subcategory_3,736
128, product_128 ,Home,subcategory_5,1474
129, product_129 ,Clothing,subcategory_2,1038
130, product_130 ,Books,subcategory_4,1176
131, product_131 ,Clothing,subcategory_1,1480
132, product_132 ,Electronics,subcategory_5,1795
133, product_133 ,Electronics,subcategory_5,1898
134, product_134 ,Books,subcategory_5,388
135, product_135 ,Home,subcategory_1,117
136, product_136 ,Books,subcategory_2,1971
137, product_137 ,Electronics,subcategory_2,748
138, product_138 ,Home,subcategory_1,1206
139, product_139 ,Clothing,subcategory_3,1335
140, product_140 ,Home,subcategory_2,221
141, product_141 ,Home,subcategory_3,1376
142, product_142 ,Home,subcategory_4,1780
143, product_143 ,Home,subcategory_5,643
144, product_144 ,Books,subcategory_1,711
145, product_145 ,Clothing,subcategory_5,1507
146, product_146 ,Home,subcategory_4,1523
147, product_147 ,Clothing,subcategory_4,1754
148, product_148 ,Electronics,subcategory_3,782
149, product_149 ,Electronics,subcategory_3,1734
150, product_150 ,Clothing,subcategory_5,463
151, product_151 ,Home,subcategory_2,134
152, product_152 ,Electronics,subcategory_1,1682
153, product_153 ,Clothing,subcategory_5,355
154, product_154 ,Home,subcategory_5,1158
